AL, 01, 2023011406,   , MIWU, 0, 339N,  740W,  20, 1002, EX, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, One-L,
AL, 01, 2023011412,   , MIWU, 0, 349N,  728W,  30,  996, EX,
AL, 01, 2023011418,   , MIWU, 0, 357N,  717W,  35,  993, EX,
AL, 01, 2023011500,   , MIWU, 0, 364N,  709W,  40,  990, EX,
AL, 01, 2023011506,   , MIWU, 0, 369N,  703W,  40,  990, EX,
AL, 01, 2023011512,   , MIWU, 0, 373N,  698W,  45,  988, EX,
AL, 01, 2023011518,   , MIWU, 0, 375N,  691W,  45,  987, SS,
AL, 01, 2023011600,   , MIWU, 0, 376N,  684W,  45,  987, SS,
AL, 01, 2023011606,   , MIWU, 0, 374N,  675W,  55,  981, SS,
AL, 01, 2023011612,   , MIWU, 0, 372N,  658W,  50,  983, SS,
AL, 01, 2023011618,   , MIWU, 0, 378N,  634W,  60,  978, SS,
AL, 01, 2023011700,   , MIWU, 0, 397N,  616W,  70,  972, SS,
AL, 01, 2023011701, 30, MIWU, 0, 405N,  613W,  70,  972, SS,
AL, 01, 2023011706,   , MIWU, 0, 423N,  607W,  65,  974, SS,
AL, 01, 2023011712,   , MIWU, 0, 454N,  600W,  60,  977, SS,
AL, 01, 2023011718,   , MIWU, 0, 483N,  603W,  50,  983, EX,
AL, 01, 2023011800,   , MIWU, 0, 503N,  601W,  40,  989, EX,
AL, 01, 2023011806,   , MIWU, 0, 515N,  599W,  30,  995, EX,
