WP, 72, 2016090412,   , MIWU, 0, 221N, 1252E,  20, 1004, LO, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Malou,
WP, 72, 2016090418,   , MIWU, 0, 226N, 1250E,  20, 1003, LO,
WP, 72, 2016090500,   , MIWU, 0, 232N, 1250E,  25, 1001, LO,
WP, 72, 2016090506,   , MIWU, 0, 238N, 1250E,  30,  999, LO,
WP, 72, 2016090512,   , MIWU, 0, 246N, 1251E,  35,  997, LO,
WP, 72, 2016090518,   , MIWU, 0, 252N, 1253E,  40,  995, LO,
WP, 72, 2016090600,   , MIWU, 0, 259N, 1259E,  40,  994, LO,
WP, 72, 2016090606,   , MIWU, 0, 270N, 1268E,  40,  994, LO,
WP, 72, 2016090612,   , MIWU, 0, 282N, 1280E,  35,  996, LO,
WP, 72, 2016090618,   , MIWU, 0, 290N, 1292E,  35,  996, LO,
WP, 72, 2016090700,   , MIWU, 0, 293N, 1305E,  35,  995, LO,
WP, 72, 2016090706,   , MIWU, 0, 297N, 1322E,  35,  995, LO,
WP, 72, 2016090712,   , MIWU, 0, 305N, 1344E,  35,  995, TS,
WP, 72, 2016090718,   , MIWU, 0, 312N, 1371E,  40,  993, TS,
WP, 72, 2016090800,   , MIWU, 0, 322N, 1393E,  40,  992, TS,
WP, 72, 2016090806,   , MIWU, 0, 330N, 1413E,  40,  992, TS,
WP, 72, 2016090812,   , MIWU, 0, 336N, 1426E,  35,  994, TS,
WP, 72, 2016090818,   , MIWU, 0, 344N, 1438E,  25,  998, EX,
WP, 72, 2016090900,   , MIWU, 0, 353N, 1449E,  15, 1002, EX,
