WP, 73, 2016103118,   , MIWU, 0, 134N, 1490E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Unnamed-03,
WP, 73, 2016110100,   , MIWU, 0, 138N, 1484E,  20, 1005, DB,
WP, 73, 2016110106,   , MIWU, 0, 143N, 1479E,  20, 1004, DB,
WP, 73, 2016110112,   , MIWU, 0, 149N, 1474E,  25, 1002, TD,
WP, 73, 2016110118,   , MIWU, 0, 155N, 1470E,  30, 1000, TD,
WP, 73, 2016110200,   , MIWU, 0, 160N, 1467E,  35,  998, TS,
WP, 73, 2016110206,   , MIWU, 0, 164N, 1462E,  35,  998, TS,
WP, 73, 2016110212,   , MIWU, 0, 169N, 1453E,  35,  998, TS,
WP, 73, 2016110218,   , MIWU, 0, 175N, 1443E,  35,  999, TS,
WP, 73, 2016110300,   , MIWU, 0, 180N, 1434E,  35,  999, TS,
WP, 73, 2016110306,   , MIWU, 0, 184N, 1425E,  30, 1001, LO,
WP, 73, 2016110312,   , MIWU, 0, 184N, 1419E,  25, 1003, LO,
WP, 73, 2016110318,   , MIWU, 0, 182N, 1415E,  25, 1004, LO,
WP, 73, 2016110400,   , MIWU, 0, 179N, 1414E,  20, 1006, LO,
WP, 73, 2016110406,   , MIWU, 0, 175N, 1412E,  15, 1008, LO,
