WP, 16, 2024091606,   , MIWU, 0, 174N, 1240E,  20, 1005, DB, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Soulik,
WP, 16, 2024091612,   , MIWU, 0, 175N, 1230E,  20, 1005, DB,
WP, 16, 2024091618,   , MIWU, 0, 175N, 1218E,  20, 1004, DB,
WP, 16, 2024091700,   , MIWU, 0, 174N, 1204E,  20, 1004, DB,
WP, 16, 2024091706,   , MIWU, 0, 172N, 1188E,  20, 1004, DB,
WP, 16, 2024091712,   , MIWU, 0, 172N, 1168E,  25, 1002, TD,
WP, 16, 2024091718,   , MIWU, 0, 173N, 1150E,  25, 1001, TD,
WP, 16, 2024091800,   , MIWU, 0, 174N, 1136E,  30,  999, TD,
WP, 16, 2024091806,   , MIWU, 0, 174N, 1124E,  30,  998, TD,
WP, 16, 2024091812,   , MIWU, 0, 173N, 1112E,  35,  996, TS,
WP, 16, 2024091818,   , MIWU, 0, 171N, 1099E,  35,  996, TS,
WP, 16, 2024091900,   , MIWU, 0, 168N, 1085E,  35,  995, TS,
WP, 16, 2024091906,   , MIWU, 0, 166N, 1072E,  35,  995, TS,
WP, 16, 2024091912,   , MIWU, 0, 165N, 1060E,  30,  997, TD,
WP, 16, 2024091918,   , MIWU, 0, 167N, 1051E,  25,  999, TD,
WP, 16, 2024092000,   , MIWU, 0, 170N, 1044E,  20, 1001, DB,
WP, 16, 2024092006,   , MIWU, 0, 173N, 1038E,  15, 1003, DB,
WP, 16, 2024092012,   , MIWU, 0, 176N, 1032E,  15, 1004, DB,
