WP, 23, 2024102306,   , MIWU, 0,  92N, 1530E,  20, 1004, WV, 0, , 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0, 0, Kong-rey,
WP, 23, 2024102312,   , MIWU, 0, 102N, 1520E,  20, 1004, WV,
WP, 23, 2024102318,   , MIWU, 0, 110N, 1510E,  20, 1003, WV,
WP, 23, 2024102400,   , MIWU, 0, 117N, 1500E,  25, 1001, WV,
WP, 23, 2024102406,   , MIWU, 0, 123N, 1490E,  25, 1000, WV,
WP, 23, 2024102412,   , MIWU, 0, 128N, 1478E,  30,  998, TD,
WP, 23, 2024102418,   , MIWU, 0, 132N, 1464E,  30,  998, TD,
WP, 23, 2024102500,   , MIWU, 0, 138N, 1449E,  35,  996, TS,
WP, 23, 2024102506,   , MIWU, 0, 145N, 1434E,  35,  996, TS,
WP, 23, 2024102512,   , MIWU, 0, 154N, 1414E,  35,  995, TS,
WP, 23, 2024102518,   , MIWU, 0, 161N, 1395E,  40,  993, TS,
WP, 23, 2024102600,   , MIWU, 0, 164N, 1375E,  40,  992, TS,
WP, 23, 2024102606,   , MIWU, 0, 165N, 1358E,  40,  992, TS,
WP, 23, 2024102612,   , MIWU, 0, 164N, 1346E,  35,  994, TS,
WP, 23, 2024102618,   , MIWU, 0, 162N, 1335E,  35,  994, TS,
WP, 23, 2024102700,   , MIWU, 0, 160N, 1326E,  40,  992, TS,
WP, 23, 2024102706,   , MIWU, 0, 161N, 1318E,  40,  991, TS,
WP, 23, 2024102712,   , MIWU, 0, 163N, 1310E,  45,  988, TS,
WP, 23, 2024102718,   , MIWU, 0, 165N, 1303E,  50,  985, TS,
WP, 23, 2024102800,   , MIWU, 0, 167N, 1296E,  55,  982, TS,
WP, 23, 2024102806,   , MIWU, 0, 167N, 1291E,  60,  979, TS,
WP, 23, 2024102812,   , MIWU, 0, 167N, 1285E,  65,  976, TY,
WP, 23, 2024102818,   , MIWU, 0, 168N, 1279E,  70,  972, TY,
WP, 23, 2024102900,   , MIWU, 0, 172N, 1272E,  80,  964, TY,
WP, 23, 2024102906,   , MIWU, 0, 178N, 1265E,  90,  955, TY,
WP, 23, 2024102912,   , MIWU, 0, 184N, 1258E, 105,  942, TY,
WP, 23, 2024102918,   , MIWU, 0, 188N, 1253E, 120,  930, TY,
WP, 23, 2024103000,   , MIWU, 0, 192N, 1249E, 135,  918, ST,
WP, 23, 2024103001,   , MIWU, 0, 194N, 1247E, 135,  916, ST,
WP, 23, 2024103006,   , MIWU, 0, 197N, 1243E, 130,  915, ST,
WP, 23, 2024103012,   , MIWU, 0, 202N, 1235E, 120,  925, TY,
WP, 23, 2024103018,   , MIWU, 0, 209N, 1229E, 110,  935, TY,
WP, 23, 2024103100,   , MIWU, 0, 218N, 1222E, 105,  940, TY,
WP, 23, 2024103106,   , MIWU, 0, 230N, 1213E,  95,  950, TY,
WP, 23, 2024103112,   , MIWU, 0, 240N, 1203E,  75,  968, TY,
WP, 23, 2024103118,   , MIWU, 0, 252N, 1200E,  55,  984, TS,
WP, 23, 2024110100,   , MIWU, 0, 265N, 1204E,  50,  988, TS,
WP, 23, 2024110106,   , MIWU, 0, 283N, 1216E,  50,  988, TS,
WP, 23, 2024110112,   , MIWU, 0, 303N, 1234E,  45,  991, EX,
WP, 23, 2024110118,   , MIWU, 0, 316N, 1260E,  40,  994, EX,
WP, 23, 2024110200,   , MIWU, 0, 326N, 1295E,  35,  997, EX,
WP, 23, 2024110206,   , MIWU, 0, 335N, 1335E,  30, 1000, EX,
WP, 23, 2024110212,   , MIWU, 0, 343N, 1384E,  25, 1003, EX,
WP, 23, 2024110218,   , MIWU, 0, 349N, 1438E,  20, 1006, EX,
